Survey,Site,Transect,Cfreq,Number,Recorder,Species,Abundance,latin_name,Order,Family,Family_Eng,Genus,FamilyNum,SpeNum,Transect_No_bird
1,YJ,YJ2,high,X202107260635,ZJ,白头鹎,15,Pycnonotus sinensis,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,812,YJ2X202107260635Pycnonotus sinensis
1,YJ,YJ2,high,X202107260635,ZJ,褐翅鸦鹃,1,Centropus sinensis,CUCULIFORMES,杜鹃科,Cuculidae,Centropus,39,478,YJ2X202107260635Centropus sinensis
1,YJ,YJ2,high,X202107260635,ZJ,红耳鹎,16,Pycnonotus jocosus,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,814,YJ2X202107260635Pycnonotus jocosus
1,YJ,YJ2,high,X202107260635,ZJ,长尾缝叶莺,2,Orthotomus sutorius,PASSERIFORMES,扇尾莺科,Cisticolidae,Orthotomus,84,960,YJ2X202107260635Orthotomus sutorius
1,YJ,YJ2,high,X202107260635,ZJ,棕颈钩嘴鹛,2,Pomatorhinus ruficollis,PASSERIFORMES,鹛科,Timaliidae,Pomatorhinus,85,975,YJ2X202107260635Pomatorhinus ruficollis
1,YJ,YJ3,high,X202107260650,YZZ,暗绿绣眼鸟,7,Zosterops simplex,PASSERIFORMES,绣眼鸟科,Zosteropidae,Zosterops,91,1132,YJ3X202107260650Zosterops simplex
1,YJ,YJ3,high,X202107260650,YZZ,白喉红臀鹎,2,Pycnonotus aurigaster,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,817,YJ3X202107260650Pycnonotus aurigaster
1,YJ,YJ3,high,X202107260650,YZZ,白头鹎,62,Pycnonotus sinensis,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,812,YJ3X202107260650Pycnonotus sinensis
1,YJ,YJ3,high,X202107260650,YZZ,纯色山鹪莺,8,Prinia inornata,PASSERIFORMES,扇尾莺科,Cisticolidae,Prinia,84,959,YJ3X202107260650Prinia inornata
1,YJ,YJ3,high,X202107260650,YZZ,红耳鹎,10,Pycnonotus jocosus,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,814,YJ3X202107260650Pycnonotus jocosus
1,YJ,YJ3,high,X202107260650,YZZ,红嘴相思鸟,15,Leiothrix lutea,PASSERIFORMES,噪鹛科,Leiothrichidae,Leiothrix,88,1041,YJ3X202107260650Leiothrix lutea
1,YJ,YJ3,high,X202107260650,YZZ,黄腹山鹪莺,3,Prinia flaviventris,PASSERIFORMES,扇尾莺科,Cisticolidae,Prinia,84,958,YJ3X202107260650Prinia flaviventris
1,YJ,YJ3,high,X202107260650,YZZ,小白腰雨燕,30,Apus nipalensis,APODIFORMES,雨燕科,Apodidae,Apus,45,551,YJ3X202107260650Apus nipalensis
1,YJ,YJ3,high,X202107260650,YZZ,噪鹃,2,Eudynamys scolopaceus,CUCULIFORMES,杜鹃科,Cuculidae,Eudynamys,39,483,YJ3X202107260650Eudynamys scolopaceus
1,YJ,YJ3,high,X202107260650,YZZ,中华鹧鸪,1,Francolinus pintadeanus,GALLIFORMES,雉科,Phasianidae,Francolinus,2,116,YJ3X202107260650Francolinus pintadeanus
1,YJ,YJ1,high,X202107261830,ZJ,暗绿绣眼鸟,2,Zosterops simplex,PASSERIFORMES,绣眼鸟科,Zosteropidae,Zosterops,91,1132,YJ1X202107261830Zosterops simplex
1,YJ,YJ1,high,X202107261830,ZJ,白头鹎,2,Pycnonotus sinensis,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,812,YJ1X202107261830Pycnonotus sinensis
1,YJ,YJ1,high,X202107261830,ZJ,白腰雨燕,1,Apus pacificus,APODIFORMES,雨燕科,Apodidae,Apus,45,547,YJ1X202107261830Apus pacificus
1,YJ,YJ1,high,X202107261830,ZJ,纯色山鹪莺,1,Prinia inornata,PASSERIFORMES,扇尾莺科,Cisticolidae,Prinia,84,959,YJ1X202107261830Prinia inornata
1,YJ,YJ1,high,X202107261830,ZJ,红耳鹎,4,Pycnonotus jocosus,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,814,YJ1X202107261830Pycnonotus jocosus
1,YJ,YJ1,high,X202107261830,ZJ,黄腹山鹪莺,3,Prinia flaviventris,PASSERIFORMES,扇尾莺科,Cisticolidae,Prinia,84,958,YJ1X202107261830Prinia flaviventris
1,YJ,YJ1,high,X202107261830,ZJ,长尾缝叶莺,3,Orthotomus sutorius,PASSERIFORMES,扇尾莺科,Cisticolidae,Orthotomus,84,960,YJ1X202107261830Orthotomus sutorius
1,YJ,YJ2,high,X202107261830,YZZ,白头鹎,12,Pycnonotus sinensis,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,812,YJ2X202107261830Pycnonotus sinensis
1,YJ,YJ2,high,X202107261830,YZZ,红耳鹎,16,Pycnonotus jocosus,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,814,YJ2X202107261830Pycnonotus jocosus
1,YJ,YJ2,high,X202107261830,YZZ,红胸啄花鸟,1,Dicaeum ignipectus,PASSERIFORMES,啄花鸟科,Dicaeidae,Dicaeum,104,1338,YJ2X202107261830Dicaeum ignipectus
1,YJ,YJ2,high,X202107261830,YZZ,黄腹山鹪莺,2,Prinia flaviventris,PASSERIFORMES,扇尾莺科,Cisticolidae,Prinia,84,958,YJ2X202107261830Prinia flaviventris
1,YJ,YJ2,high,X202107261830,YZZ,珠颈斑鸠,2,Spilopelia chinensis,COLUMBIFORMES,鸠鸽科,Columbidae,Spilopelia,38,459,YJ2X202107261830Spilopelia chinensis
1,YJ,YJ2,high,X202107261830,YZZ,棕颈钩嘴鹛,4,Pomatorhinus ruficollis,PASSERIFORMES,鹛科,Timaliidae,Pomatorhinus,85,975,YJ2X202107261830Pomatorhinus ruficollis
1,YJ,YJ3,high,X202107261830,CHW,红耳鹎,2,Pycnonotus jocosus,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,814,YJ3X202107261830Pycnonotus jocosus
1,YJ,YJ3,high,X202107261830,CHW,长尾缝叶莺,1,Orthotomus sutorius,PASSERIFORMES,扇尾莺科,Cisticolidae,Orthotomus,84,960,YJ3X202107261830Orthotomus sutorius
1,YJ,YJ3,high,X202107261830,CHW,棕颈钩嘴鹛,1,Pomatorhinus ruficollis,PASSERIFORMES,鹛科,Timaliidae,Pomatorhinus,85,975,YJ3X202107261830Pomatorhinus ruficollis
1,YJ,YJ1,high,X202107270700,ZJ,暗绿绣眼鸟,18,Zosterops simplex,PASSERIFORMES,绣眼鸟科,Zosteropidae,Zosterops,91,1132,YJ1X202107270700Zosterops simplex
1,YJ,YJ1,high,X202107270700,ZJ,白头鹎,9,Pycnonotus sinensis,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,812,YJ1X202107270700Pycnonotus sinensis
1,YJ,YJ1,high,X202107270700,ZJ,白腰文鸟,4,Lonchura striata,PASSERIFORMES,梅花雀科,Estrildidae,Lonchura,108,1369,YJ1X202107270700Lonchura striata
1,YJ,YJ1,high,X202107270700,ZJ,纯色山鹪莺,1,Prinia inornata,PASSERIFORMES,扇尾莺科,Cisticolidae,Prinia,84,959,YJ1X202107270700Prinia inornata
1,YJ,YJ1,high,X202107270700,ZJ,红耳鹎,9,Pycnonotus jocosus,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,814,YJ1X202107270700Pycnonotus jocosus
1,YJ,YJ1,high,X202107270700,ZJ,红胸啄花鸟,1,Dicaeum ignipectus,PASSERIFORMES,啄花鸟科,Dicaeidae,Dicaeum,104,1338,YJ1X202107270700Dicaeum ignipectus
1,YJ,YJ1,high,X202107270700,ZJ,黄腹山鹪莺,3,Prinia flaviventris,PASSERIFORMES,扇尾莺科,Cisticolidae,Prinia,84,958,YJ1X202107270700Prinia flaviventris
1,YJ,YJ1,high,X202107270700,ZJ,家燕,1,Hirundo rustica,PASSERIFORMES,燕科,Hirundinidae,Hirundo,77,826,YJ1X202107270700Hirundo rustica
1,YJ,YJ1,high,X202107270700,ZJ,长尾缝叶莺,3,Orthotomus sutorius,PASSERIFORMES,扇尾莺科,Cisticolidae,Orthotomus,84,960,YJ1X202107270700Orthotomus sutorius
1,YJ,YJ1,high,X202107270700,ZJ,棕颈钩嘴鹛,5,Pomatorhinus ruficollis,PASSERIFORMES,鹛科,Timaliidae,Pomatorhinus,85,975,YJ1X202107270700Pomatorhinus ruficollis
1,YJ,YJ2,high,X202107270720,CHW,暗绿绣眼鸟,8,Zosterops simplex,PASSERIFORMES,绣眼鸟科,Zosteropidae,Zosterops,91,1132,YJ2X202107270720Zosterops simplex
1,YJ,YJ2,high,X202107270720,CHW,白头鹎,19,Pycnonotus sinensis,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,812,YJ2X202107270720Pycnonotus sinensis
1,YJ,YJ2,high,X202107270720,CHW,斑文鸟,3,Lonchura punctulata,PASSERIFORMES,梅花雀科,Estrildidae,Lonchura,108,1368,YJ2X202107270720Lonchura punctulata
1,YJ,YJ2,high,X202107270720,CHW,黑喉噪鹛,1,Pterorhinus chinensis,PASSERIFORMES,噪鹛科,Leiothrichidae,Pterorhinus,88,1068,YJ2X202107270720Pterorhinus chinensis
1,YJ,YJ2,high,X202107270720,CHW,红耳鹎,37,Pycnonotus jocosus,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,814,YJ2X202107270720Pycnonotus jocosus
1,YJ,YJ2,high,X202107270720,CHW,小白腰雨燕,3,Apus nipalensis,APODIFORMES,雨燕科,Apodidae,Apus,45,551,YJ2X202107270720Apus nipalensis
1,YJ,YJ2,high,X202107270720,CHW,长尾缝叶莺,2,Orthotomus sutorius,PASSERIFORMES,扇尾莺科,Cisticolidae,Orthotomus,84,960,YJ2X202107270720Orthotomus sutorius
1,YJ,YJ2,high,X202107270720,CHW,棕颈钩嘴鹛,2,Pomatorhinus ruficollis,PASSERIFORMES,鹛科,Timaliidae,Pomatorhinus,85,975,YJ2X202107270720Pomatorhinus ruficollis
1,YJ,YJ3,high,X202107270700,YZZ,暗绿绣眼鸟,3,Zosterops simplex,PASSERIFORMES,绣眼鸟科,Zosteropidae,Zosterops,91,1132,YJ3X202107270700Zosterops simplex
1,YJ,YJ3,high,X202107270700,YZZ,白头鹎,36,Pycnonotus sinensis,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,812,YJ3X202107270700Pycnonotus sinensis
1,YJ,YJ3,high,X202107270700,YZZ,纯色山鹪莺,1,Prinia inornata,PASSERIFORMES,扇尾莺科,Cisticolidae,Prinia,84,959,YJ3X202107270700Prinia inornata
1,YJ,YJ3,high,X202107270700,YZZ,大嘴乌鸦,1,Corvus macrorhynchos,PASSERIFORMES,鸦科,Corvidae,Corvus,69,744,YJ3X202107270700Corvus macrorhynchos
1,YJ,YJ3,high,X202107270700,YZZ,褐翅鸦鹃,5,Centropus sinensis,CUCULIFORMES,杜鹃科,Cuculidae,Centropus,39,478,YJ3X202107270700Centropus sinensis
1,YJ,YJ3,high,X202107270700,YZZ,红耳鹎,32,Pycnonotus jocosus,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,814,YJ3X202107270700Pycnonotus jocosus
1,YJ,YJ3,high,X202107270700,YZZ,红嘴相思鸟,4,Leiothrix lutea,PASSERIFORMES,噪鹛科,Leiothrichidae,Leiothrix,88,1041,YJ3X202107270700Leiothrix lutea
1,YJ,YJ3,high,X202107270700,YZZ,画眉,2,Garrulax canorus,PASSERIFORMES,噪鹛科,Leiothrichidae,Garrulax,88,1050,YJ3X202107270700Garrulax canorus
1,YJ,YJ3,high,X202107270700,YZZ,黄腹山鹪莺,1,Prinia flaviventris,PASSERIFORMES,扇尾莺科,Cisticolidae,Prinia,84,958,YJ3X202107270700Prinia flaviventris
1,YJ,YJ3,high,X202107270700,YZZ,四声杜鹃,1,Cuculus micropterus,CUCULIFORMES,杜鹃科,Cuculidae,Cuculus,39,494,YJ3X202107270700Cuculus micropterus
1,YJ,YJ3,high,X202107270700,YZZ,棕颈钩嘴鹛,1,Pomatorhinus ruficollis,PASSERIFORMES,鹛科,Timaliidae,Pomatorhinus,85,975,YJ3X202107270700Pomatorhinus ruficollis
1,TS,TS2,high,X202107290730,YZZ,红耳鹎,5,Pycnonotus jocosus,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,814,TS2X202107290730Pycnonotus jocosus
1,TS,TS2,high,X202107290730,YZZ,红胸啄花鸟,2,Dicaeum ignipectus,PASSERIFORMES,啄花鸟科,Dicaeidae,Dicaeum,104,1338,TS2X202107290730Dicaeum ignipectus
1,TS,TS2,high,X202107290730,YZZ,长尾缝叶莺,3,Orthotomus sutorius,PASSERIFORMES,扇尾莺科,Cisticolidae,Orthotomus,84,960,TS2X202107290730Orthotomus sutorius
1,TS,TS2,high,X202107290730,YZZ,棕颈钩嘴鹛,2,Pomatorhinus ruficollis,PASSERIFORMES,鹛科,Timaliidae,Pomatorhinus,85,975,TS2X202107290730Pomatorhinus ruficollis
1,TS,TS3,high,X202107290720,CHW,暗绿绣眼鸟,6,Zosterops simplex,PASSERIFORMES,绣眼鸟科,Zosteropidae,Zosterops,91,1132,TS3X202107290720Zosterops simplex
1,TS,TS3,high,X202107290720,CHW,八哥,12,Acridotheres cristatellus,PASSERIFORMES,椋鸟科,Sturnidae,Acridotheres,99,1165,TS3X202107290720Acridotheres cristatellus
1,TS,TS3,high,X202107290720,CHW,白喉红臀鹎,3,Pycnonotus aurigaster,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,817,TS3X202107290720Pycnonotus aurigaster
1,TS,TS3,high,X202107290720,CHW,白鹭,2,Egretta garzetta,PELECANIFORMES,鹭科,Ardeidae,Egretta,13,193,TS3X202107290720Egretta garzetta
1,TS,TS3,high,X202107290720,CHW,白头鹎,3,Pycnonotus sinensis,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,812,TS3X202107290720Pycnonotus sinensis
1,TS,TS3,high,X202107290720,CHW,红耳鹎,2,Pycnonotus jocosus,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,814,TS3X202107290720Pycnonotus jocosus
1,TS,TS3,high,X202107290720,CHW,灰背椋鸟,1,Sturnia sinensis,PASSERIFORMES,椋鸟科,Sturnidae,Sturnia,99,1176,TS3X202107290720Sturnia sinensis
1,TS,TS3,high,X202107290720,CHW,家燕,19,Hirundo rustica,PASSERIFORMES,燕科,Hirundinidae,Hirundo,77,826,TS3X202107290720Hirundo rustica
1,TS,TS3,high,X202107290720,CHW,金腰燕,19,Cecropis daurica,PASSERIFORMES,燕科,Hirundinidae,Cecropis,77,831,TS3X202107290720Cecropis daurica
1,TS,TS3,high,X202107290720,CHW,鹊鸲,1,Copsychus saularis,PASSERIFORMES,鹟科,Muscicapidae,Copsychus,101,1220,TS3X202107290720Copsychus saularis
1,TS,TS3,high,X202107290720,CHW,麻雀,5,Passer montanus,PASSERIFORMES,雀科,Passeridae,Passer,106,1362,TS3X202107290720Passer montanus
1,TS,TS3,high,X202107290720,CHW,小白腰雨燕,13,Apus nipalensis,APODIFORMES,雨燕科,Apodidae,Apus,45,551,TS3X202107290720Apus nipalensis
1,TS,TS3,high,X202107290720,CHW,珠颈斑鸠,3,Spilopelia chinensis,COLUMBIFORMES,鸠鸽科,Columbidae,Spilopelia,38,459,TS3X202107290720Spilopelia chinensis
1,TS,TS3,high,X202107290720,CHW,棕背伯劳,3,Lanius schach,PASSERIFORMES,伯劳科,Laniidae,Lanius,63,679,TS3X202107290720Lanius schach
1,TS,TS2,high,X202107300640,YZZ,暗绿绣眼鸟,28,Zosterops simplex,PASSERIFORMES,绣眼鸟科,Zosteropidae,Zosterops,91,1132,TS2X202107300640Zosterops simplex
1,TS,TS2,high,X202107300640,YZZ,白喉红臀鹎,3,Pycnonotus aurigaster,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,817,TS2X202107300640Pycnonotus aurigaster
1,TS,TS2,high,X202107300640,YZZ,白头鹎,6,Pycnonotus sinensis,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,812,TS2X202107300640Pycnonotus sinensis
1,TS,TS2,high,X202107300640,YZZ,叉尾太阳鸟,3,Aethopyga christinae,PASSERIFORMES,太阳鸟科,Nectariniidae,Aethopyga,105,1346,TS2X202107300640Aethopyga christinae
1,TS,TS2,high,X202107300640,YZZ,海南蓝仙鹟,1,Cyornis hainanus,PASSERIFORMES,鹟科,Muscicapidae,Cyornis,101,1229,TS2X202107300640Cyornis hainanus
1,TS,TS2,high,X202107300640,YZZ,黑脸噪鹛,1,Pterorhinus perspicillatus,PASSERIFORMES,噪鹛科,Leiothrichidae,Pterorhinus,88,1070,TS2X202107300640Pterorhinus perspicillatus
1,TS,TS2,high,X202107300640,YZZ,红耳鹎,7,Pycnonotus jocosus,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,814,TS2X202107300640Pycnonotus jocosus
1,TS,TS2,high,X202107300640,YZZ,红胸啄花鸟,5,Dicaeum ignipectus,PASSERIFORMES,啄花鸟科,Dicaeidae,Dicaeum,104,1338,TS2X202107300640Dicaeum ignipectus
1,TS,TS2,high,X202107300640,YZZ,红嘴蓝鹊,1,Urocissa erythroryncha,PASSERIFORMES,鸦科,Corvidae,Urocissa,69,720,TS2X202107300640Urocissa erythroryncha
1,TS,TS2,high,X202107300640,YZZ,鹊鸲,1,Copsychus saularis,PASSERIFORMES,鹟科,Muscicapidae,Copsychus,101,1220,TS2X202107300640Copsychus saularis
1,TS,TS2,high,X202107300640,YZZ,长尾缝叶莺,5,Orthotomus sutorius,PASSERIFORMES,扇尾莺科,Cisticolidae,Orthotomus,84,960,TS2X202107300640Orthotomus sutorius
1,TS,TS2,high,X202107300640,YZZ,珠颈斑鸠,1,Spilopelia chinensis,COLUMBIFORMES,鸠鸽科,Columbidae,Spilopelia,38,459,TS2X202107300640Spilopelia chinensis
1,TS,TS2,high,X202107300640,YZZ,棕颈钩嘴鹛,1,Pomatorhinus ruficollis,PASSERIFORMES,鹛科,Timaliidae,Pomatorhinus,85,975,TS2X202107300640Pomatorhinus ruficollis
1,TS,TS3,high,X202107300630,CHW,暗绿绣眼鸟,8,Zosterops simplex,PASSERIFORMES,绣眼鸟科,Zosteropidae,Zosterops,91,1132,TS3X202107300630Zosterops simplex
1,TS,TS3,high,X202107300630,CHW,八哥,5,Acridotheres cristatellus,PASSERIFORMES,椋鸟科,Sturnidae,Acridotheres,99,1165,TS3X202107300630Acridotheres cristatellus
1,TS,TS3,high,X202107300630,CHW,白喉红臀鹎,16,Pycnonotus aurigaster,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,817,TS3X202107300630Pycnonotus aurigaster
1,TS,TS3,high,X202107300630,CHW,白头鹎,6,Pycnonotus sinensis,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,812,TS3X202107300630Pycnonotus sinensis
1,TS,TS3,high,X202107300630,CHW,池鹭,2,Ardeola bacchus,PELECANIFORMES,鹭科,Ardeidae,Ardeola,13,183,TS3X202107300630Ardeola bacchus
1,TS,TS3,high,X202107300630,CHW,大嘴乌鸦,1,Corvus macrorhynchos,PASSERIFORMES,鸦科,Corvidae,Corvus,69,744,TS3X202107300630Corvus macrorhynchos
1,TS,TS3,high,X202107300630,CHW,褐翅鸦鹃,6,Centropus sinensis,CUCULIFORMES,杜鹃科,Cuculidae,Centropus,39,478,TS3X202107300630Centropus sinensis
1,TS,TS3,high,X202107300630,CHW,灰背椋鸟,28,Sturnia sinensis,PASSERIFORMES,椋鸟科,Sturnidae,Sturnia,99,1176,TS3X202107300630Sturnia sinensis
1,TS,TS3,high,X202107300630,CHW,家燕,5,Hirundo rustica,PASSERIFORMES,燕科,Hirundinidae,Hirundo,77,826,TS3X202107300630Hirundo rustica
1,TS,TS3,high,X202107300630,CHW,金腰燕,9,Cecropis daurica,PASSERIFORMES,燕科,Hirundinidae,Cecropis,77,831,TS3X202107300630Cecropis daurica
1,TS,TS3,high,X202107300630,CHW,绿嘴地鹃,1,Phaenicophaeus tristis,CUCULIFORMES,杜鹃科,Cuculidae,Phaenicophaeus,39,480,TS3X202107300630Phaenicophaeus tristis
1,TS,TS3,high,X202107300630,CHW,鹊鸲,3,Copsychus saularis,PASSERIFORMES,鹟科,Muscicapidae,Copsychus,101,1220,TS3X202107300630Copsychus saularis
1,TS,TS3,high,X202107300630,CHW,麻雀,3,Passer montanus,PASSERIFORMES,雀科,Passeridae,Passer,106,1362,TS3X202107300630Passer montanus
1,TS,TS3,high,X202107300630,CHW,长尾缝叶莺,6,Orthotomus sutorius,PASSERIFORMES,扇尾莺科,Cisticolidae,Orthotomus,84,960,TS3X202107300630Orthotomus sutorius
1,TS,TS3,high,X202107300630,CHW,珠颈斑鸠,3,Spilopelia chinensis,COLUMBIFORMES,鸠鸽科,Columbidae,Spilopelia,38,459,TS3X202107300630Spilopelia chinensis
1,TS,TS3,high,X202107300630,CHW,棕背伯劳,5,Lanius schach,PASSERIFORMES,伯劳科,Laniidae,Lanius,63,679,TS3X202107300630Lanius schach
1,TS,TS2,high,X202107301700,CHW,暗绿绣眼鸟,2,Zosterops simplex,PASSERIFORMES,绣眼鸟科,Zosteropidae,Zosterops,91,1132,TS2X202107301700Zosterops simplex
1,TS,TS2,high,X202107301700,CHW,白喉红臀鹎,7,Pycnonotus aurigaster,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,817,TS2X202107301700Pycnonotus aurigaster
1,TS,TS2,high,X202107301700,CHW,白头鹎,6,Pycnonotus sinensis,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,812,TS2X202107301700Pycnonotus sinensis
1,TS,TS2,high,X202107301700,CHW,红耳鹎,6,Pycnonotus jocosus,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,814,TS2X202107301700Pycnonotus jocosus
1,TS,TS2,high,X202107301700,CHW,长尾缝叶莺,3,Orthotomus sutorius,PASSERIFORMES,扇尾莺科,Cisticolidae,Orthotomus,84,960,TS2X202107301700Orthotomus sutorius
1,TS,TS2,high,X202107301700,CHW,珠颈斑鸠,3,Spilopelia chinensis,COLUMBIFORMES,鸠鸽科,Columbidae,Spilopelia,38,459,TS2X202107301700Spilopelia chinensis
1,TS,TS2,high,X202107301700,CHW,棕背伯劳,2,Lanius schach,PASSERIFORMES,伯劳科,Laniidae,Lanius,63,679,TS2X202107301700Lanius schach
1,TS,TS3,high,X202107301650,YZZ,暗绿绣眼鸟,17,Zosterops simplex,PASSERIFORMES,绣眼鸟科,Zosteropidae,Zosterops,91,1132,TS3X202107301650Zosterops simplex
1,TS,TS3,high,X202107301650,YZZ,八哥,25,Acridotheres cristatellus,PASSERIFORMES,椋鸟科,Sturnidae,Acridotheres,99,1165,TS3X202107301650Acridotheres cristatellus
1,TS,TS3,high,X202107301650,YZZ,白头鹎,14,Pycnonotus sinensis,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,812,TS3X202107301650Pycnonotus sinensis
1,TS,TS3,high,X202107301650,YZZ,叉尾太阳鸟,1,Aethopyga christinae,PASSERIFORMES,太阳鸟科,Nectariniidae,Aethopyga,105,1346,TS3X202107301650Aethopyga christinae
1,TS,TS3,high,X202107301650,YZZ,红耳鹎,3,Pycnonotus jocosus,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,814,TS3X202107301650Pycnonotus jocosus
1,TS,TS3,high,X202107301650,YZZ,灰背椋鸟,3,Sturnia sinensis,PASSERIFORMES,椋鸟科,Sturnidae,Sturnia,99,1176,TS3X202107301650Sturnia sinensis
1,TS,TS3,high,X202107301650,YZZ,金腰燕,2,Cecropis daurica,PASSERIFORMES,燕科,Hirundinidae,Cecropis,77,831,TS3X202107301650Cecropis daurica
1,TS,TS3,high,X202107301650,YZZ,麻雀,3,Passer montanus,PASSERIFORMES,雀科,Passeridae,Passer,106,1362,TS3X202107301650Passer montanus
1,TS,TS3,high,X202107301650,YZZ,大山雀,2,Parus minor,PASSERIFORMES,山雀科,Paridae,Parus,72,770,TS3X202107301650Parus minor
1,TS,TS3,high,X202107301650,YZZ,长尾缝叶莺,2,Orthotomus sutorius,PASSERIFORMES,扇尾莺科,Cisticolidae,Orthotomus,84,960,TS3X202107301650Orthotomus sutorius
1,TS,TS3,high,X202107301650,YZZ,珠颈斑鸠,2,Spilopelia chinensis,COLUMBIFORMES,鸠鸽科,Columbidae,Spilopelia,38,459,TS3X202107301650Spilopelia chinensis
1,TS,TS3,high,X202107301650,YZZ,棕背伯劳,3,Lanius schach,PASSERIFORMES,伯劳科,Laniidae,Lanius,63,679,TS3X202107301650Lanius schach
1,MM,MM2,high,X202107271800,CHW,白喉红臀鹎,2,Pycnonotus aurigaster,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,817,MM2X202107271800Pycnonotus aurigaster
1,MM,MM2,high,X202107271800,CHW,红耳鹎,51,Pycnonotus jocosus,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,814,MM2X202107271800Pycnonotus jocosus
1,MM,MM2,high,X202107271800,CHW,黄腹山鹪莺,1,Prinia flaviventris,PASSERIFORMES,扇尾莺科,Cisticolidae,Prinia,84,958,MM2X202107271800Prinia flaviventris
